 Area 7.Cogeneration Plant.GEN7003 Cogeneration Plant No 3 Co-Gen.Variables.HMI Indication - Actual Power  Raw Historic			
Time/Date	Value		
02/01/2020 19:40:15	1006.94		
02/01/2020 19:47:15	1013.63		
02/01/2020 19:47:45	1018.09		
02/01/2020 20:15:45	1017.34		
02/01/2020 20:16:15	1008.06		
02/01/2020 20:17:15	1014.00		
02/01/2020 20:17:45	1017.34		
02/01/2020 20:26:15	1012.89		
02/01/2020 20:26:45	1009.17		
02/01/2020 20:34:15	1013.63		
02/01/2020 20:34:45	1017.34		
02/01/2020 22:24:15	1014.00		
02/01/2020 22:24:45	1008.06		
02/01/2020 22:25:15	1019.94		
02/01/2020 22:42:15	1014.00		
02/01/2020 22:42:45	1011.77		
02/01/2020 22:43:15	1021.80		
02/01/2020 22:43:45	1013.63		
03/01/2020 05:34:15	1006.94		
03/01/2020 05:34:45	1005.09		
03/01/2020 05:37:15	1011.03		
03/01/2020 05:37:45	1013.63		
03/01/2020 08:58:45	1013.63		
03/01/2020 08:59:15	1005.09		
03/01/2020 08:59:45	1012.51		
03/01/2020 09:00:15	1015.49		
03/01/2020 09:01:45	1010.29		
03/01/2020 09:02:15	1007.31		
03/01/2020 09:02:45	1012.51		
03/01/2020 09:03:15	1015.86		
03/01/2020 09:05:15	1012.51		
03/01/2020 09:05:45	1006.94		
03/01/2020 09:13:15	1012.51		
03/01/2020 09:13:45	1015.86		
03/01/2020 09:25:45	1014.00		
03/01/2020 09:26:15	1007.31		
03/01/2020 09:45:15	1014.37		
03/01/2020 09:45:45	1016.60		
03/01/2020 09:48:15	1012.51		
03/01/2020 09:48:45	1007.31		
03/01/2020 09:56:15	1013.63		
03/01/2020 09:56:45	1016.60		
03/01/2020 09:58:15	1014.00		
03/01/2020 09:58:45	1007.31		
03/01/2020 10:42:45	1014.37		
03/01/2020 10:43:15	1015.49		
03/01/2020 10:59:15	1014.00		
03/01/2020 10:59:45	1007.31		
03/01/2020 11:03:15	1014.00		
03/01/2020 11:03:45	1016.60		
03/01/2020 11:04:15	1008.43		
03/01/2020 11:37:45	1016.23		
03/01/2020 11:38:15	1020.31		
03/01/2020 11:38:45	1006.94		
03/01/2020 11:54:15	1009.17		
03/01/2020 11:54:45	1015.86		
03/01/2020 11:56:15	1008.43		
03/01/2020 11:56:45	1007.31		
03/01/2020 12:08:45	1009.17		
03/01/2020 12:09:15	1015.86		
03/01/2020 12:09:45	1012.14		
03/01/2020 12:10:15	1007.31		
03/01/2020 12:24:15	1008.80		
03/01/2020 12:24:45	1015.86		
03/01/2020 12:25:20	1009.17		
03/01/2020 12:25:22	1006.94		
03/01/2020 12:26:56	1013.63		
03/01/2020 12:26:58	1016.60		
03/01/2020 12:27:20	1012.51		
03/01/2020 12:27:22	1007.31		
03/01/2020 12:27:36	1012.89		
03/01/2020 12:27:38	1015.49		
03/01/2020 12:28:18	1008.06		
03/01/2020 12:28:20	1006.94		
03/01/2020 12:32:38	1014.00		
03/01/2020 12:32:40	1016.60		
03/01/2020 12:33:20	1016.60		
03/01/2020 12:33:22	1007.31		
03/01/2020 12:33:38	1014.74		
03/01/2020 12:33:40	1019.94		
03/01/2020 12:33:48	1014.00		
03/01/2020 12:33:50	1007.31		
03/01/2020 12:35:08	1014.00		
03/01/2020 12:35:10	1017.34		
03/01/2020 12:35:28	1013.63		
03/01/2020 12:35:30	1009.17		
03/01/2020 12:35:32	1014.00		
03/01/2020 12:35:34	1017.34		
03/01/2020 12:36:00	1014.00		
03/01/2020 12:36:02	1007.31		
03/01/2020 13:01:52	1014.00		
03/01/2020 13:01:54	1015.49		
03/01/2020 13:02:45	1012.14		
03/01/2020 13:03:15	1007.31		
03/01/2020 13:20:32	1012.51		
03/01/2020 13:20:45	1016.60		
03/01/2020 13:21:15	1011.03		
03/01/2020 13:21:45	1007.31		
03/01/2020 13:35:15	1013.63		
03/01/2020 13:35:45	1015.86		
03/01/2020 13:36:15	1007.31		
03/01/2020 13:54:24	1014.00		
03/01/2020 13:54:45	1018.09		
03/01/2020 13:55:45	1014.00		
03/01/2020 13:56:15	1009.91		
03/01/2020 15:12:49	1014.37		
03/01/2020 15:12:51	1019.57		
03/01/2020 15:13:07	1014.00		
03/01/2020 15:13:09	1010.29		
03/01/2020 15:22:55	1015.86		
03/01/2020 15:22:57	1019.57		
03/01/2020 15:23:09	1014.00		
03/01/2020 15:23:11	1009.17		
03/01/2020 15:27:35	1014.00		
03/01/2020 15:27:37	1018.09		
03/01/2020 15:27:41	1014.00		
03/01/2020 15:27:43	1007.31		
03/01/2020 15:32:31	1009.91		
03/01/2020 15:32:33	1016.23		
03/01/2020 15:32:41	1008.80		
03/01/2020 15:32:43	1007.31		
03/01/2020 15:38:33	1014.00		
03/01/2020 15:38:35	1016.23		
03/01/2020 15:38:41	1010.66		
03/01/2020 15:38:43	1007.31		
03/01/2020 15:42:13	1009.91		
03/01/2020 15:42:15	1015.49		
03/01/2020 15:42:19	1008.06		
03/01/2020 15:42:21	1007.31		
03/01/2020 15:43:23	1012.89		
03/01/2020 15:43:25	1015.49		
03/01/2020 15:44:01	1011.03		
03/01/2020 15:44:03	1007.31		
03/01/2020 15:47:25	1013.63		
03/01/2020 15:47:27	1016.23		
03/01/2020 15:47:45	1009.17		
03/01/2020 15:47:47	1008.06		
03/01/2020 15:48:19	1014.00		
03/01/2020 15:48:21	1016.23		
